longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-12227,378,390,17150,6230,13270,4670,18477,1792000
-12226,378,360,53290,24770,34690,23230,20096,1300000
-12226,3782,310,45960,13310,20480,11800,28345,1838000
-12226,3781,290,3350,1070,2020,910,20062,1250000
-12226,3782,220,36820,12700,20240,12500,12185,1700000
-12226,3782,370,36330,10850,18380,9800,26104,1931000
-12225,3781,290,46560,14140,23040,12500,24912,2578000
-12225,3781,280,58060,16030,25630,14970,32177,2734000
-12225,3781,390,8540,2420,3890,2280,3125,2375000
-12225,3781,520,21550,7010,8950,6130,25795,3500000
-12226,3781,340,58710,19140,26890,17890,28406,3357000
-12224,3782,520,15090,2250,6740,2440,49306,3134000
-12224,3781,520,20260,4820,7090,4560,32727,2685000
-12225,3781,520,17580,4600,6860,4220,31691,2594000
-12224,3782,520,34810,7510,14440,7180,39,2757000
-12225,3782,280,33370,8550,15200,8020,39063,2250000
-12225,3782,520,14240,2890,5500,2530,50917,2625000
-12225,3782,320,38090,10980,18060,10220,26429,2185000
-12225,3782,260,39590,11960,17490,12170,30233,2550000
-12225,3783,520,23760,5590,9390,5190,31484,2241000
-12225,3783,350,16130,4280,6750,4220,34722,2431000
-12225,3783,520,12790,2870,5340,2910,31429,2316000
-12225,3783,280,50220,17500,25580,16610,24234,2185000
-12225,3783,520,41900,11050,17860,10370,30897,2341000
-12223,3784,500,25150,3990,9700,3730,58596,3276000
-12223,3784,470,31750,4540,10980,4850,52868,3476000
-12224,3783,410,25760,4060,7940,3760,5956,3661000
-12224,3785,370,3340,540,980,470,49643,3350000
-12223,3785,520,28000,4110,10610,4030,63434,3736000
-12224,3784,520,35290,5740,11770,5550,51773,3895000
-12224,3785,520,26120,3650,9010,3670,72354,3911000
-12222,3785,280,52870,10480,20310,9560,5457,3373000
-12222,3784,500,29350,4730,10310,4790,75,2952000
-12221,3784,440,34240,5970,13580,5970,60194,2923000
-12221,3783,400,49910,6740,16160,6540,75544,4115000
-1222,3784,300,22110,3460,8440,3430,60666,3115000
-12221,3784,340,30380,4900,11400,4960,70548,3259000
-12219,3784,180,16170,2100,5330,1940,116017,3926000
-1222,3784,350,28650,4600,10720,4430,74882,3193000
-12221,3783,340,50650,7880,16270,7660,68976,3333000
-12219,3783,280,13260,1840,4630,1900,82049,3352000
-1222,3783,260,15890,2230,5420,2110,8401,3512000
-12219,3783,290,17910,2710,6610,2690,68538,3689000
-12219,3782,320,18350,2640,6350,2630,8317,3659000
-1222,3782,370,12290,1810,4200,1760,70175,3667000
-1222,3782,390,37700,5340,12650,5000,63302,3628000
-12218,3781,300,2920,380,1260,520,63624,4833000
-12221,3782,520,23750,3330,8130,3500,70549,3314000
-1222,3781,450,29640,4360,10670,4260,67851,3235000
-12221,378,500,28330,6050,12600,5520,28929,2167000
-12221,378,380,22540,5350,9510,4870,30812,2331000
-12221,3781,520,13890,2120,5100,2240,52402,2964000
-12222,3781,520,19710,3350,7650,3080,65217,2737000
-12222,378,520,21830,4650,11290,4600,32632,2277000
-12222,378,520,22860,4640,10730,4410,30298,1996000
-12222,378,520,27210,5410,11850,5150,45428,2398000
-12222,3781,520,20240,3390,7560,3400,4072,2701000
-12222,3781,520,29440,5360,10340,5210,53509,3021000
-12223,378,520,20330,4860,7870,4590,31603,2695000
-12223,3781,520,14330,2290,6120,2130,47708,3147000
-12222,3781,520,29270,4020,10210,3800,81564,3901000
-12223,3781,520,23150,2920,8610,2580,88793,4103000
-12224,3781,520,24850,3130,9530,3270,68591,3524000
-12224,3781,520,14900,2380,6340,2560,60302,2873000
-12223,3781,520,28140,3650,8780,3520,7508,3487000
-12224,3781,520,20930,5500,9180,4830,27477,2438000
-12224,378,520,8880,1680,3600,1750,21944,2115000
-12225,378,520,20870,5100,11970,4880,30149,2184000
-12224,3781,520,25130,5020,10480,5180,3675,2699000
-12225,3781,460,32320,8350,13730,7470,3225,2188000
-12225,378,420,41200,10650,17150,10150,29345,2250000
-12225,378,430,23640,7920,13590,7220,21429,2500000
-12225,378,410,14710,4690,10620,4130,16121,1714000
-12225,378,290,24680,8640,13350,7730,13929,1938000
-12224,3779,270,16320,4920,11710,4290,23173,1250000
-12225,3779,450,17860,5260,14750,4600,17772,975000
-12225,3779,500,6290,1880,7420,1960,26458,1250000
-12225,3779,520,13390,3910,10860,3630,2181,1388000
-12225,378,360,16780,6060,16450,5430,22303,1167000
-12225,378,430,23440,6470,17100,6440,16504,1518000
-12224,378,520,9960,2280,7310,2280,22697,1270000
-12224,378,520,15910,3730,11180,3470,21563,1286000
-12224,378,520,15860,3980,10060,3350,21348,1406000
-12224,378,470,20460,5880,12130,5540,26292,1827000
-12223,378,520,11920,2890,7720,2570,23833,1469000
-12224,378,520,18030,4200,13210,4010,2957,1228000
-12224,378,490,28380,7490,14870,6770,25238,1693000
-12223,378,520,7830,1840,4880,1860,19375,1266000
-12223,378,510,15900,4140,9490,3920,19028,1279000
-12223,378,500,17460,4800,11490,4150,225,1235000
-12223,378,520,12520,2990,8440,2800,23929,1119000
-12223,3779,430,59630,13440,43670,12310,21917,1128000
-12223,3779,520,17830,3950,16590,4120,29357,1079000
-12223,3779,300,9990,2640,10110,2630,18854,1375000
-12224,3779,390,14690,4310,14640,3890,21638,1055000
-12224,3779,470,13720,3950,12370,3030,2125,955000
-12224,3779,520,6740,1800,6470,1680,3375,1161000
-12224,3779,430,16260,3760,12840,3570,22542,1122000
-12225,3779,510,1750,430,2280,550,21,750000
-12225,3779,390,4610,1290,3810,1230,16,1125000
-12225,3779,520,9020,2370,8460,2270,3625,1250000
-12226,378,200,23730,7790,16590,6760,16929,1150000
-12222,3777,520,3910,1280,5200,1380,16471,950000
-12222,3777,520,11370,3010,8660,2590,259,964000
-12223,3777,520,7690,2060,6120,1830,257,720000
-12223,3778,520,4720,1460,4150,1260,26429,713000
-12223,3778,520,8620,2150,9940,2130,30257,808000
-12222,3778,500,19200,5300,15250,4770,14886,1288000
-12223,3778,430,14200,4720,15060,4380,19338,1125000
-12223,3778,520,9860,2580,10080,2550,14844,1194000
-12223,3778,440,23400,8250,28130,7510,16009,1181000
-12223,3779,480,16960,3960,14810,3430,20375,1225000
-12223,3779,490,11750,2170,8590,2190,2293,1063000
-12222,3779,370,23430,5740,16080,5230,21494,1325000
-12223,3779,300,6100,1450,4250,1400,16198,1227000
-12223,3779,400,9300,1990,5640,1840,13281,1133000
-12222,3779,440,14870,3140,9610,2720,35156,1095000
-12222,3779,520,34240,6900,22730,6850,39048,1647000
-12221,3779,520,7620,1900,6000,1950,30893,1250000
-12222,3779,460,23660,5750,16470,5270,26042,1247000
-12222,3779,490,18260,4500,12010,4240,25,1367000
-12222,3779,380,30490,7110,21670,6590,27969,1417000
-1222,3779,290,16400,3760,9390,3400,28321,1500000
-12221,3779,470,15430,3070,8590,2920,29583,1388000
-12221,3779,340,23640,5570,15170,5160,28365,1392000
-12221,3779,350,17450,4090,11430,3860,2875,1438000
-12221,378,390,20030,5000,11090,4640,30682,1565000
-12221,378,390,20180,4470,12210,4460,30757,1510000
-1222,378,430,30450,4990,11150,4550,49559,2730000
-1222,378,520,15470,2930,7060,2680,47721,2171000
-12221,378,520,35190,7110,18830,7060,34861,1871000
-1222,378,410,20700,3540,8040,3400,51184,2396000
-12221,378,480,13210,2630,5060,2520,40977,2297000
-12219,378,480,16940,2590,6100,2380,4744,2573000
-12219,378,460,19380,3410,7680,3320,42727,2469000
-12219,3779,500,9680,1950,4620,1840,29844,1799000
-1222,3779,400,10600,2560,6670,2350,41739,1696000
-1222,378,460,20410,4050,10590,3990,38487,2033000
-12219,378,520,18130,2710,6370,2770,40114,2634000
-12219,3779,450,27180,4510,11060,4540,46563,2318000
-12219,3779,280,31440,7610,17370,6690,29297,1405000
-1222,3779,350,18020,4590,10090,3900,23036,1260000
-1222,3779,490,8820,1950,7370,2100,26667,1220000
-1222,3779,440,16210,4520,13540,4910,2619,1347000
-12221,3779,450,21150,5330,15300,4740,24167,1394000
-1222,3779,450,20210,5280,14100,4800,27788,1154000
-12221,3778,460,22390,5080,13900,5690,27352,1373000
-12221,3778,520,14770,3000,10650,2690,18472,1370000
-12221,3778,520,10560,2240,7920,2450,26583,1426000
-12221,3778,490,8980,2440,7790,2450,30536,1375000
-12222,3778,440,29680,7100,22690,6100,23906,1117000
-12221,3778,430,17020,4600,12270,4070,17188,1268000
-12221,3778,470,8810,2480,7530,2410,2625,1113000
-12222,3777,400,4940,1140,5470,1350,28015,1148000
-12222,3778,500,17760,4730,18070,4400,17276,1023000
-12222,3778,440,16780,5140,17000,4950,20801,1319000
-12222,3778,510,16370,4630,15430,3930,2489,1191000
-12221,3776,520,14200,3140,10850,3000,17546,806000
-12221,3777,520,5910,1730,3530,1370,40904,806000
-12221,3777,520,7450,1530,4730,1490,26765,888000
-1222,3777,490,22720,4980,16210,4830,24338,1024000
-12221,3777,460,12340,3750,11830,3540,23309,987000
-12221,3777,430,10170,3280,8360,2770,22604,1000000
-12219,3777,420,9320,2540,9000,2630,18039,923000
-1222,3777,390,26890,5970,18880,5370,22562,948000
-1222,3777,410,15470,4150,10240,3410,20562,1020000
-1222,3778,520,23000,4430,12250,4230,35398,1584000
-1222,3778,390,17520,3990,10710,3760,31167,1216000
-1222,3778,500,18670,4030,11280,3780,25401,1291000
-1222,3777,430,24300,5020,15370,4840,2898,1214000
-12221,3778,440,17290,4140,12400,3930,23125,1028000
-12219,3778,520,10260,1800,4690,1680,2875,1600000
-12219,3777,520,21700,4280,10860,4250,33715,1439000
-12219,3777,520,23290,4450,11440,4170,35114,1512000
-12219,3778,520,24920,4150,11090,3750,43125,1644000
-12219,3778,520,21980,3970,9840,3690,322,1565000
-12218,3778,330,1420,310,5750,470,3875,2250000
-12219,3778,490,11830,2050,4960,2090,52328,1742000
-12219,3778,520,10700,1930,5550,1900,37262,1669000
-1222,3778,450,17660,3320,8690,3270,45893,1635000
-12218,3779,390,6170,950,2360,1060,52578,2530000
-12218,3779,410,14110,2330,6260,2140,70875,2407000
-12218,3779,460,21090,3870,9220,3290,39712,2081000
-12219,3779,470,12290,2430,5820,2560,29514,1981000
-12219,3779,500,9540,2170,5460,2010,26667,1728000
-12218,3781,370,16430,2620,6200,2660,54446,3367000
-12218,378,340,13550,1950,4420,1950,62838,3182000
-12218,378,230,23170,3360,9550,3280,67527,2858000
-12213,3777,240,24590,3170,9160,3240,70712,2930000
-12216,3779,220,128420,20480,49850,19670,59849,3710000
-12217,3778,420,15240,2600,6510,2670,36875,1573000
-12217,3777,300,33260,7460,17040,7030,2875,1353000
-12218,3778,430,19850,4400,10850,4070,34205,1367000
-12218,3778,500,16420,3220,7130,2840,32984,1607000
-12217,3778,490,8930,1770,4680,1810,3875,1406000
-12217,3778,520,6530,1280,2960,1210,4175,1440000
-12216,3777,470,12560,,5700,2180,4375,1619000
-12216,3777,480,9770,1940,4460,1800,47708,1563000
-12216,3777,450,23240,3970,9680,3840,35739,1760000
-12216,3777,390,15830,3490,8570,3160,30958,1458000
-12217,3777,390,16120,3420,9120,3220,33958,1419000
-12217,3777,310,24240,5330,13600,4520,1871,907000
-12217,3776,410,15940,3670,10740,3550,19356,906000
-12217,3776,470,21180,4130,9650,3820,21842,1079000
-12218,3776,370,15750,3580,9330,3200,22917,1070000
-12217,3776,380,17640,3970,9870,3540,24333,982000
-12218,3776,500,11870,2610,9070,2460,19479,895000
-12218,3776,520,7540,1750,4470,1650,39063,938000
-12218,3776,490,23080,4520,12990,4510,18407,967000
-12218,3777,270,9090,2360,3960,1570,20786,975000
-12218,3777,420,11800,2570,8770,2680,28125,973000
-12218,3776,430,20180,4080,11110,3670,18913,912000
-12219,3776,490,13680,2820,7900,2690,17056,914000
-12218,3777,520,27440,5470,14790,5540,22768,962000
-12218,3777,510,21070,4710,11730,4380,32552,1201000
-12218,3777,520,17480,3620,10290,3660,20556,1000000
-12219,3776,520,20240,3910,10300,3500,24659,947000
-1222,3776,470,11160,2590,8260,2790,175,857000
-12219,3777,410,20360,5100,14120,4540,20469,893000
-12219,3777,450,18520,3930,11320,3490,27159,1014000
-12219,3776,410,9210,2070,5220,1590,12083,725000
-12219,3776,450,9950,2380,6300,2370,1925,741000
-1222,3775,360,6060,1320,5310,1330,15809,700000
-1222,3776,370,26800,7360,19250,6670,14097,846000
-12219,3776,380,14930,3700,11440,3510,7683,818000
-12219,3775,190,22070,5650,14810,5200,13194,814000
-12219,3775,280,8560,1890,4350,1620,8012,818000
-12219,3776,260,12930,2970,9840,3030,19479,858000
-12219,3774,360,8470,2120,5670,1590,11765,871000
-12218,3774,420,5410,1540,3800,1230,23456,835000
-12219,3773,440,10660,2530,8250,2440,21538,797000
-12219,3774,430,7070,1470,4170,1550,25139,834000
-12219,3773,450,15280,2910,8010,2870,12625,847000
-12218,3773,420,9090,2150,6460,1980,29063,800000
-12218,3773,430,13910,2930,8550,2850,25192,764000
-12218,3773,440,5480,1190,4350,1360,21111,797000
-12218,3773,420,40740,8740,27360,7800,2455,824000
-12217,3774,410,16130,4450,14810,4140,24028,977000
-12217,3774,470,4630,1340,3270,1370,215,972000
-12217,3774,430,8180,1930,4940,1790,24776,1016000
-12217,3773,430,14730,3710,12310,3410,21587,865000
-12218,3774,350,5040,1260,3230,1090,18438,905000
-12217,3774,460,10260,2260,7490,2250,30298,1076000
-12217,3774,460,7690,1830,6930,1780,225,842000
-12218,3774,460,21030,3910,13390,3540,22467,889000
-12218,3775,450,3300,760,2820,800,40469,807000
-12218,3775,460,9410,2180,6210,1950,1325,871000
-12217,3775,380,9920,,7320,2590,16196,851000
-12218,3775,450,9900,2610,9010,2600,21731,820000
-12219,3775,360,11260,2630,4820,1500,19167,828000
-12218,3775,430,10360,2330,6520,2130,2069,846000
-12218,3775,360,10470,2140,6510,1660,1712,821000
-12217,3776,330,12800,3070,9990,2860,25625,893000
-12217,3775,430,15870,3200,9070,3060,19821,983000
-12217,3775,410,12570,2710,8280,2300,25043,923000
-12217,3775,440,12180,2480,7630,2540,23281,888000
-12217,3775,480,17510,3900,9350,3490,14375,900000
-12216,3776,450,22990,5140,14370,4840,25122,955000
-12216,3775,380,24570,6240,15160,4820,15625,917000
-12217,3775,470,9980,2110,5970,1850,31587,1004000
-12217,3776,400,16850,3430,9490,3420,18426,948000
-12216,3776,460,18270,3070,8810,3020,46696,1643000
-12216,3776,360,27810,5740,14380,5190,24598,1555000
-12215,3776,390,18230,2860,7630,2700,60749,1969000
-12214,3777,270,22290,3650,12970,3550,48304,2791000
-12214,3776,340,15130,2310,5450,2110,55701,2528000
-12213,3776,260,32660,4910,12220,5330,537,2754000
-12212,3775,330,18090,2610,8080,2190,686,2500000
-12212,3775,280,7940,1110,3290,1090,76923,3298000
-12214,3775,360,6900,1050,2990,1090,40313,1955000
-12214,3775,330,13340,2000,5790,2020,68323,2559000
-12213,3775,300,4140,540,1370,500,4975,3111000
-12213,3775,360,7680,930,2290,930,53602,3300000
-12213,3774,410,44000,6660,14760,6480,50,2489000
-12216,3775,460,9540,1610,4290,1540,2925,1429000
-12215,3775,400,14450,2560,8490,2550,38913,1263000
-12215,3775,440,19380,3990,9460,3310,3225,1358000
-12215,3774,410,8560,1780,5710,1910,31458,1306000
-12216,3775,240,17900,4540,11370,3860,2537,1079000
-12216,3775,440,6170,1310,3780,1350,25568,1111000
-12215,3774,430,13830,2750,8530,2720,35083,1220000
-12215,3774,490,13250,2770,7640,2820,33125,1180000
-12216,3775,400,12270,2940,9280,2610,18235,952000
-12216,3775,350,6670,1400,4060,1330,38047,943000
-12217,3774,340,12230,2810,8240,2800,22917,925000
-12217,3775,370,13790,2870,8350,2590,24962,918000
-12216,3774,430,15340,3000,8260,2950,40417,1094000
-12216,3774,460,10290,1810,5670,2110,34844,1295000
-12216,3774,520,7710,1470,3550,1440,41458,1434000
-12216,3774,470,8240,2230,5330,1660,2625,982000
-12216,3774,440,10970,2390,6090,2150,20227,1031000
-12229,379,490,12830,2380,5760,2360,33333,2768000
-12229,379,520,16040,2630,5940,2860,5338,2709000
-12229,3789,520,22480,4220,8700,3770,34732,2462000
-1223,379,380,22630,5220,10270,5090,35125,2242000
-12229,3789,520,15710,3490,6930,3260,31375,2291000
-1223,3789,460,15200,4020,8150,3750,28036,2116000
-1223,379,150,50830,12120,24200,11460,45824,2561000
-1223,3789,360,10770,2930,5180,2760,30208,2063000
-1223,3789,520,12480,2830,6200,2750,40875,2213000
-12233,3789,420,13420,2910,5510,2660,45268,2074000
-12234,3788,370,30610,9300,25560,9240,17375,3500000
-12229,3789,520,31710,6980,14980,6960,31795,2182000
-12229,3788,500,12110,2610,5230,2270,38672,2167000
-12229,3789,520,9790,1750,3740,1530,51675,2706000
-12229,3789,520,22690,3800,10040,3710,51696,2614000
-12228,3788,520,18440,3320,7690,3340,42614,2613000
-12229,3789,520,21780,4210,9400,4230,50551,2322000
-12227,379,420,16500,2740,6450,2560,56228,3754000
-12226,379,520,19270,2790,7050,2880,78864,3573000
-12227,379,520,20790,2730,6840,2750,79556,3744000
-12227,379,520,18030,2400,5720,2360,6174,3588000
-12227,379,520,20410,2700,6710,2530,69414,4175000
-12227,3789,520,30460,3730,9750,3650,88342,4305000
-12228,379,520,23180,3280,7790,3120,71754,3629000
-12228,379,520,20030,2500,6580,2440,100825,3970000
-12228,379,520,22610,3280,8190,3350,49083,3468000
-12228,3789,520,12250,1690,4120,1680,57912,3271000
-12228,3789,520,23150,4080,8350,3690,45893,2901000
-12228,3789,520,20700,3290,7220,3060,54171,2920000
-12228,3789,520,26160,4730,10850,4870,4125,2709000
-12227,3789,520,26400,3660,9730,3550,7266,3711000
-12227,3789,520,19780,2930,7230,2720,53989,3356000
-12226,379,370,22200,3350,9030,3620,78336,3713000
-12225,3789,410,11250,1950,3560,1810,61593,3440000
-12226,3789,520,30780,4940,10050,4620,6381,3422000
-12226,3789,520,37060,5310,12050,5040,66828,3709000
-12225,3789,370,30000,4570,9870,4500,75385,3500000
-12225,3789,420,28630,4600,10310,4480,67138,3686000
-12226,3788,520,25510,4170,8940,4040,62425,3918000
-12226,3788,520,22550,4100,8230,3770,57979,4153000
-12227,3788,520,33600,6480,12320,6210,42813,2849000
-12227,3788,520,16930,3910,6690,3670,35417,2875000
-12227,3788,440,22520,5920,9890,5500,30132,2729000
-12228,3788,520,24950,4910,10580,4640,41429,2596000
-12228,3788,520,11930,2000,5060,2070,41912,2545000
-12228,3788,520,11720,2150,4890,2180,39167,2356000
-12229,3788,520,21590,4240,8240,3880,38897,2184000
-12229,3788,480,23650,4900,10340,4750,31065,2292000
-12229,3788,460,18950,4420,9200,4250,29926,1921000
-12229,3788,520,16500,3950,8410,3800,3556,1793000
-1223,3788,450,4530,1460,7490,1370,1475,1875000
-1223,3788,520,4090,970,2080,980,16971,1388000
-1223,3787,100,5030,1180,2280,1000,21705,1500000
-1223,3786,500,4990,1270,2870,1280,275,1406000
-12229,3785,520,4770,1190,2180,1060,25682,1200000
-1223,3788,460,16470,3760,8540,3550,29,1448000
-1223,3787,520,31230,7490,16950,6840,22208,1448000
-12228,3788,520,9570,1880,4030,1720,32344,2455000
-12228,3787,520,5890,1320,2880,1310,35156,2000000
-12228,3787,490,20260,5480,9630,5210,19805,1737000
-12229,3787,500,18290,5360,11290,5160,26684,1856000
-12229,3787,520,8950,1980,3860,2040,3875,1826000
-12228,3788,520,19090,4160,8110,4060,3006,2279000
-12228,3787,460,30220,6960,12930,6750,2543,2207000
-12228,3787,460,17770,4460,8050,4310,28676,2120000
-12227,3788,520,28030,9300,13720,8760,21907,2714000
-12227,3787,300,14650,4390,8620,4250,17778,2688000
-12227,3788,370,26190,6820,11520,6160,252,2778000
-12226,3788,520,11490,2550,4830,2490,42788,3325000
-12226,3788,520,23630,6040,15580,5730,2944,3389000
-12226,3788,520,26040,8370,17980,7690,1725,2875000
-12225,3787,410,6850,1410,2660,1230,52289,3846000
-12225,3787,420,17560,4650,21840,4220,25562,3714000
-12225,3787,520,12040,4600,20160,4770,949,3500000
-12225,3787,520,6090,2360,13490,2500,11696,5000010
-12226,3787,520,10870,3710,33370,3500,14012,1750000
-12226,3787,520,27730,9980,17210,9490,11859,2417000
-12227,3787,350,32180,11080,16750,10000,17464,2167000
-12227,3787,490,13500,3680,7070,3500,28846,2113000
-12227,3787,520,30840,6980,14240,6940,27372,2102000
-12228,3786,520,9380,1950,3930,1890,38594,1964000
-12228,3787,520,18130,3530,8280,3390,35625,1917000
-12228,3787,520,12330,3000,5710,2920,22788,1823000
-12229,3787,440,25390,7550,13820,7130,2537,1750000
-12229,3787,460,12670,3240,7920,3210,2525,1659000
-12229,3786,520,16650,4040,8150,3720,19946,1569000
-12228,3786,520,16590,3670,7880,3460,28214,1643000
-12229,3787,520,22250,4600,11450,4300,26165,1500000
-12229,3786,500,24850,6070,13540,5630,19483,1505000
-12228,3786,520,20310,4500,9580,4450,19327,1699000
-12228,3786,490,29320,6680,13610,6080,19798,1474000
-12228,3785,520,22460,4720,10050,4490,24167,1527000
-12227,3786,490,20520,4350,9240,4140,25417,1827000
-12228,3786,520,19990,4170,7800,3580,33906,1793000
-12228,3786,520,30070,6910,15820,6360,25652,1577000
-12228,3786,410,22140,5500,12130,5680,22845,1531000
-12227,3786,520,10880,3050,4860,2670,26071,2500000
-12227,3786,520,8340,1860,4940,1750,315,2063000
-12227,3786,520,17690,3720,8490,3650,26914,2188000
-12227,3786,520,23070,5830,11270,5480,18447,1982000
-12226,3786,350,51610,17440,32760,17420,16307,2536000
-12226,3786,520,34970,8320,14930,7940,29044,2574000
-12226,3786,520,37740,7440,14610,6790,29405,2895000
-12226,3786,520,28880,6040,12530,5380,33893,2417000
-12225,3786,480,21530,5170,16560,4590,30417,4896000
-12225,3786,520,13890,1910,5140,2020,70897,4462000
-12225,3786,520,17090,3180,7190,2950,50463,4563000
-12225,3786,520,15870,4440,8780,4490,17652,3368000
-12224,3786,520,16680,2250,5170,2140,78521,5000010
-12224,3785,520,37260,4740,13660,4960,93959,5000010
-12225,3786,520,40480,6630,13160,5900,53794,3769000
-12226,3785,520,36180,7680,15080,7550,32619,3096000
-12227,3785,520,40760,9200,18000,8150,27054,1823000
-12227,3785,470,20770,4000,7190,3260,22431,1727000
-12227,3785,500,12790,3000,6750,2550,19028,1508000
-12227,3785,520,19740,4260,8750,3630,15817,1536000
-12227,3785,520,3350,830,1520,770,22841,1063000
-12227,3785,470,13750,3070,8430,3190,13785,1423000
-12228,3785,520,6100,1450,2810,1320,29018,1194000
-12228,3785,440,10250,1980,5060,2040,173,1479000
